City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,cumana,10.4635,-64.1775,297.35,88,100,3.93,VE,1678237973
205,kijang,35.2442,129.2139,290.0,52,74,6.25,KR,1678237974
206,verkhnyaya inta,65.9811,60.3094,246.77,89,23,3.51,RU,1678237974
207,coos bay,43.3665,-124.2179,279.78,89,100,4.12,US,1678237975
208,saint anthony,45.0205,-93.218,276.03,62,20,2.57,US,1678237975
209,ngozi,-2.9075,29.8306,286.99,87,47,1.04,BI,1678237976
210,carnarvon,-24.8667,113.6333,301.78,56,0,6.61,AU,1678237976
211,fortuna,40.5982,-124.1573,279.78,91,75,5.14,US,1678237976
212,dikson,73.5069,80.5464,234.75,100,38,2.33,RU,1678237977
213,fairbanks,64.8378,-147.7164,276.13,73,75,0.0,US,1678237800
214,lima,-12.0432,-77.0282,299.76,73,40,3.6,PE,1678237430
215,vardo,70.3705,31.1107,262.14,73,46,6.69,NO,1678237978
216,axim,4.8699,-2.2405,299.21,88,84,4.0,GH,1678237978
217,cesvaine,56.9667,26.3167,271.08,97,100,5.28,LV,1678237979
218,san quintin,30.4833,-115.95,286.47,68,87,9.79,MX,1678237979
219,guerrero negro,27.9769,-114.0611,287.89,67,5,9.37,MX,1678237979
220,usinsk,65.9939,57.5281,248.34,88,96,4.91,RU,1678237980
221,kupang,-10.1667,123.5833,302.47,84,40,2.57,ID,1678237980
222,coxim,-18.5067,-54.76,297.77,89,100,2.06,BR,1678237981
223,nanchong,30.7951,106.0847,288.8,84,100,1.24,CN,1678237981
224,portland,45.5234,-122.6762,281.95,74,75,4.63,US,1678237912
225,ziro,27.6333,93.8333,281.88,87,44,1.02,IN,1678237982
226,komsomolskiy,40.4272,71.7189,280.55,76,100,2.06,UZ,1678237982
227,rio grande,-32.035,-52.0986,296.54,92,5,2.26,BR,1678237983
228,vila velha,-20.3297,-40.2925,298.12,91,20,1.54,BR,1678237983
229,lebu,-37.6167,-73.65,288.45,97,100,4.23,CL,1678237984
230,kavieng,-2.5744,150.7967,299.2,82,100,1.09,PG,1678237984
231,puerto carreno,6.189,-67.4859,303.14,53,98,2.03,CO,1678237985
232,pemba,-12.974,40.5178,297.72,85,100,5.21,MZ,1678237985
233,palmer,42.1584,-72.3287,272.83,55,75,6.69,US,1678237986
234,coolum beach,-26.5333,153.1,303.77,70,95,3.41,AU,1678237986
235,yulara,-25.2406,130.9889,298.39,26,0,6.38,AU,1678237987
236,gravdal,68.1214,13.5031,267.48,52,37,4.9,NO,1678237987
237,safita,34.8205,36.1153,283.24,69,100,1.91,SY,1678237988
238,hearst,49.6835,-83.6665,263.95,97,95,2.07,CA,1678237989
239,sakakah,29.9697,40.2064,286.88,73,28,3.85,SA,1678237845
240,lavrentiya,65.5833,-171.0,260.8,91,100,0.45,RU,1678237989
241,kabompo,-13.5927,24.2008,292.67,87,100,1.51,ZM,1678237990
242,provideniya,64.3833,-173.3,263.98,92,86,0.82,RU,1678237990
243,yellowknife,62.456,-114.3525,257.35,65,100,4.92,CA,1678237991
244,sibay,52.7181,58.6658,260.44,90,22,3.84,RU,1678237991
